elapsed.ps,repeats.n,param.array.array
25504,100000,array<integer>[1]
26182,100000,array<integer>[1]
25363,100000,array<integer>[1]
25224,100000,array<integer>[1]
25334,100000,array<integer>[1]
25670,100000,array<integer>[1]
25479,100000,array<integer>[1]
25470,100000,array<integer>[1]
27647,100000,array<integer>[1]
25915,100000,array<integer>[1]
25217,100000,array<integer>[1]
25285,100000,array<integer>[1]
27089,100000,array<integer>[1]
25475,100000,array<integer>[1]
25467,100000,array<integer>[1]
25930,100000,array<integer>[1]
25911,100000,array<integer>[1]
25502,100000,array<integer>[1]
25162,100000,array<integer>[1]
27421,100000,array<integer>[1]
25456,100000,array<integer>[1]
25585,100000,array<integer>[1]
25176,100000,array<integer>[1]
25374,100000,array<integer>[1]
26394,100000,array<integer>[1]
25334,100000,array<integer>[1]
25323,100000,array<integer>[1]
25820,100000,array<integer>[1]
25894,100000,array<integer>[1]
30783,100000,array<integer>[1]
25243,100000,array<integer>[1]
25322,100000,array<integer>[1]
25508,100000,array<integer>[1]
25813,100000,array<integer>[1]
25188,100000,array<integer>[1]
25741,100000,array<integer>[1]
25739,100000,array<integer>[1]
25711,100000,array<integer>[1]
25418,100000,array<integer>[1]
25374,100000,array<integer>[1]
27539,100000,array<integer>[1]
25211,100000,array<integer>[1]
25711,100000,array<integer>[1]
25974,100000,array<integer>[1]
25894,100000,array<integer>[1]
25213,100000,array<integer>[1]
24950,100000,array<integer>[1]
24758,100000,array<integer>[1]
25799,100000,array<integer>[1]
25179,100000,array<integer>[1]
25110,100000,array<integer>[1]
25013,100000,array<integer>[1]
25012,100000,array<integer>[1]
25374,100000,array<integer>[1]
25941,100000,array<integer>[1]
25237,100000,array<integer>[1]
25206,100000,array<integer>[1]
25267,100000,array<integer>[1]
25024,100000,array<integer>[1]
26214,100000,array<integer>[1]
25399,100000,array<integer>[1]
25121,100000,array<integer>[1]
25271,100000,array<integer>[1]
25120,100000,array<integer>[1]
25684,100000,array<integer>[1]
25349,100000,array<integer>[1]
25336,100000,array<integer>[1]
25387,100000,array<integer>[1]
25637,100000,array<integer>[1]
25426,100000,array<integer>[1]
25533,100000,array<integer>[1]
25467,100000,array<integer>[1]
25201,100000,array<integer>[1]
25264,100000,array<integer>[1]
25927,100000,array<integer>[1]
25899,100000,array<integer>[1]
25124,100000,array<integer>[1]
25963,100000,array<integer>[1]
25985,100000,array<integer>[1]
25855,100000,array<integer>[1]
25441,100000,array<integer>[1]
25023,100000,array<integer>[1]
25440,100000,array<integer>[1]
25978,100000,array<integer>[1]
25522,100000,array<integer>[1]
26622,100000,array<integer>[1]
25188,100000,array<integer>[1]
25230,100000,array<integer>[1]
25174,100000,array<integer>[1]
25598,100000,array<integer>[1]
26295,100000,array<integer>[1]
25488,100000,array<integer>[1]
25068,100000,array<integer>[1]
25369,100000,array<integer>[1]
25297,100000,array<integer>[1]
25504,100000,array<integer>[1]
26082,100000,array<integer>[1]
25585,100000,array<integer>[1]
25276,100000,array<integer>[1]
26165,100000,array<integer>[1]
25511,100000,array<integer>[1]
25583,100000,array<integer>[1]
26604,100000,array<integer>[1]
25519,100000,array<integer>[1]
25709,100000,array<integer>[1]
26391,100000,array<integer>[1]
25847,100000,array<integer>[1]
25091,100000,array<integer>[1]
25611,100000,array<integer>[1]
25865,100000,array<integer>[1]
25265,100000,array<integer>[1]
25008,100000,array<integer>[1]
25204,100000,array<integer>[1]
25122,100000,array<integer>[1]
25151,100000,array<integer>[1]
25850,100000,array<integer>[1]
25372,100000,array<integer>[1]
26325,100000,array<integer>[1]
25416,100000,array<integer>[1]
24968,100000,array<integer>[1]
25518,100000,array<integer>[1]
25384,100000,array<integer>[1]
25215,100000,array<integer>[1]
25633,100000,array<integer>[1]
25287,100000,array<integer>[1]
25582,100000,array<integer>[1]
26258,100000,array<integer>[1]
25059,100000,array<integer>[1]
24990,100000,array<integer>[1]
25702,100000,array<integer>[1]
24849,100000,array<integer>[1]
28369,100000,array<integer>[1]
30302,100000,array<integer>[1]
25228,100000,array<integer>[1]
25007,100000,array<integer>[1]
25474,100000,array<integer>[1]
25428,100000,array<integer>[1]
25771,100000,array<integer>[1]
25189,100000,array<integer>[1]
25755,100000,array<integer>[1]
25565,100000,array<integer>[1]
25387,100000,array<integer>[1]
25297,100000,array<integer>[1]
25028,100000,array<integer>[1]
25391,100000,array<integer>[1]
24965,100000,array<integer>[1]
25715,100000,array<integer>[1]
24867,100000,array<integer>[1]
25247,100000,array<integer>[1]
25100,100000,array<integer>[1]
25105,100000,array<integer>[1]
25032,100000,array<integer>[1]
26047,100000,array<integer>[1]
25206,100000,array<integer>[1]
25169,100000,array<integer>[1]
26069,100000,array<integer>[1]
26076,100000,array<integer>[1]
25887,100000,array<integer>[1]
25864,100000,array<integer>[1]
25648,100000,array<integer>[1]
25028,100000,array<integer>[1]
25603,100000,array<integer>[1]
25237,100000,array<integer>[1]
25840,100000,array<integer>[1]
25579,100000,array<integer>[1]
25182,100000,array<integer>[1]
25009,100000,array<integer>[1]
26330,100000,array<integer>[1]
25215,100000,array<integer>[1]
25025,100000,array<integer>[1]
25337,100000,array<integer>[1]
25410,100000,array<integer>[1]
25678,100000,array<integer>[1]
25022,100000,array<integer>[1]
24948,100000,array<integer>[1]
25853,100000,array<integer>[1]
25558,100000,array<integer>[1]
27463,100000,array<integer>[1]
25465,100000,array<integer>[1]
26137,100000,array<integer>[1]
25680,100000,array<integer>[1]
25861,100000,array<integer>[1]
25200,100000,array<integer>[1]
25229,100000,array<integer>[1]
25133,100000,array<integer>[1]
25575,100000,array<integer>[1]
25216,100000,array<integer>[1]
25370,100000,array<integer>[1]
25073,100000,array<integer>[1]
25279,100000,array<integer>[1]
25111,100000,array<integer>[1]
25522,100000,array<integer>[1]
24958,100000,array<integer>[1]
25471,100000,array<integer>[1]
25093,100000,array<integer>[1]
26044,100000,array<integer>[1]
26029,100000,array<integer>[1]
26020,100000,array<integer>[1]
26539,100000,array<integer>[1]
25526,100000,array<integer>[1]
25648,100000,array<integer>[1]
25791,100000,array<integer>[1]
25590,100000,array<integer>[1]
25523,100000,array<integer>[1]
25316,100000,array<integer>[1]
24997,100000,array<integer>[1]
25578,100000,array<integer>[1]
25035,100000,array<integer>[1]
25288,100000,array<integer>[1]
25229,100000,array<integer>[1]
25333,100000,array<integer>[1]
25467,100000,array<integer>[1]
25169,100000,array<integer>[1]
26300,100000,array<integer>[1]
25133,100000,array<integer>[1]
25476,100000,array<integer>[1]
25558,100000,array<integer>[1]
25772,100000,array<integer>[1]
25149,100000,array<integer>[1]
25778,100000,array<integer>[1]
25161,100000,array<integer>[1]
25321,100000,array<integer>[1]
26084,100000,array<integer>[1]
25584,100000,array<integer>[1]
25401,100000,array<integer>[1]
25478,100000,array<integer>[1]
25419,100000,array<integer>[1]
25614,100000,array<integer>[1]
25836,100000,array<integer>[1]
26187,100000,array<integer>[1]
25212,100000,array<integer>[1]
25177,100000,array<integer>[1]
25330,100000,array<integer>[1]
25508,100000,array<integer>[1]
26112,100000,array<integer>[1]
25522,100000,array<integer>[1]
25583,100000,array<integer>[1]
25714,100000,array<integer>[1]
26001,100000,array<integer>[1]
25014,100000,array<integer>[1]
25290,100000,array<integer>[1]
25502,100000,array<integer>[1]
25728,100000,array<integer>[1]
26389,100000,array<integer>[1]
25169,100000,array<integer>[1]
25078,100000,array<integer>[1]
25048,100000,array<integer>[1]
25960,100000,array<integer>[1]
25366,100000,array<integer>[1]
26615,100000,array<integer>[1]
25845,100000,array<integer>[1]
25104,100000,array<integer>[1]
25224,100000,array<integer>[1]
25226,100000,array<integer>[1]
26422,100000,array<integer>[1]
25619,100000,array<integer>[1]
25901,100000,array<integer>[1]
25345,100000,array<integer>[1]
25346,100000,array<integer>[1]
25290,100000,array<integer>[1]
25289,100000,array<integer>[1]
25535,100000,array<integer>[1]
25735,100000,array<integer>[1]
25136,100000,array<integer>[1]
25338,100000,array<integer>[1]
25321,100000,array<integer>[1]
24906,100000,array<integer>[1]
25285,100000,array<integer>[1]
25031,100000,array<integer>[1]
25135,100000,array<integer>[1]
26621,100000,array<integer>[1]
24989,100000,array<integer>[1]
25409,100000,array<integer>[1]
25431,100000,array<integer>[1]
24925,100000,array<integer>[1]
25558,100000,array<integer>[1]
25168,100000,array<integer>[1]
25413,100000,array<integer>[1]
25736,100000,array<integer>[1]
25783,100000,array<integer>[1]
25475,100000,array<integer>[1]
25495,100000,array<integer>[1]
25457,100000,array<integer>[1]
26425,100000,array<integer>[1]
24939,100000,array<integer>[1]
26271,100000,array<integer>[1]
25313,100000,array<integer>[1]
25065,100000,array<integer>[1]
25272,100000,array<integer>[1]
25655,100000,array<integer>[1]
26203,100000,array<integer>[1]
25558,100000,array<integer>[1]
25308,100000,array<integer>[1]
24913,100000,array<integer>[1]
25043,100000,array<integer>[1]
25586,100000,array<integer>[1]
25301,100000,array<integer>[1]
25304,100000,array<integer>[1]
25399,100000,array<integer>[1]
25793,100000,array<integer>[1]
25309,100000,array<integer>[1]
25470,100000,array<integer>[1]
25595,100000,array<integer>[1]
25010,100000,array<integer>[1]
25231,100000,array<integer>[1]
25057,100000,array<integer>[1]
26134,100000,array<integer>[1]
25338,100000,array<integer>[1]
25279,100000,array<integer>[1]
25270,100000,array<integer>[1]
25228,100000,array<integer>[1]
25751,100000,array<integer>[1]
25233,100000,array<integer>[1]
24985,100000,array<integer>[1]
24972,100000,array<integer>[1]
25822,100000,array<integer>[1]
24899,100000,array<integer>[1]
25101,100000,array<integer>[1]
25631,100000,array<integer>[1]
25772,100000,array<integer>[1]
25609,100000,array<integer>[1]
25303,100000,array<integer>[1]
25684,100000,array<integer>[1]
25375,100000,array<integer>[1]
25320,100000,array<integer>[1]
25030,100000,array<integer>[1]
25203,100000,array<integer>[1]
25227,100000,array<integer>[1]
24876,100000,array<integer>[1]
25496,100000,array<integer>[1]
24948,100000,array<integer>[1]
25342,100000,array<integer>[1]
