elapsed.ps,repeats.n,param.a.integer,param.b.integer
19829,100000,-7663286239530236,-4370363826635902
18819,100000,8154626921903059,8503674133495693
18783,100000,-4289257147841744,-165995443004337
18755,100000,7355006181534419,1219329948040223
18891,100000,7932813205662870,5801845479791399
20986,100000,-6717819167815815,-1610469202553364
21378,100000,176303202225845,2997546419014308
19125,100000,-3194180279134602,8055125167977800
19516,100000,-2786093565464080,-8067992626789802
19195,100000,-4238280511379865,-977203518746827
18997,100000,-7462107022466604,-7691387118981997
18678,100000,6149237396782058,8608807369925444
20364,100000,-2437190158732537,-3931185385460527
19146,100000,2605125791990473,-7771524912180149
18792,100000,1002476704043388,-7350036468729558
20552,100000,-5943254837907500,-5046943463616794
18853,100000,-117611007343970,-8584537096080067
18864,100000,6106596373476574,-540896267694892
20183,100000,-2056417286080909,1711853755066271
18905,100000,6022082642417268,-662861050704324
19449,100000,-1712279202434374,1819299891716982
18879,100000,8305531604522749,-2385599771394804
18802,100000,4269420057038398,5003772559262706
18722,100000,687328235439108,-3853628828192971
18990,100000,1139191491453599,-4995116235064000
21037,100000,1542784266224457,15642049297033
18945,100000,-463854600015634,6519823061620624
18879,100000,-5504440877843131,4995111753044666
18807,100000,5652926213829252,6439867157862009
18828,100000,7859714550509357,4153434886903224
20251,100000,-7686881470354346,4499065037537378
19099,100000,4538832771636334,-1860780186181725
19179,100000,-8588990337860034,8757280734830052
20811,100000,-8101626760917638,-2857050668162683
19058,100000,-8926970138306999,1438592899172822
21801,100000,-4202636957527543,-877843146345919
20967,100000,7919161854593400,-2341953813181650
20947,100000,8596551018955747,500287885886448
18846,100000,-6122545808915187,5882838107401109
18994,100000,5766175560874108,-7038180723339589
18723,100000,758425249493581,8089765418683405
18680,100000,-8716535949931688,-3786579545796896
18920,100000,-3024789926855835,-1274826366925693
19107,100000,-4304249511859363,3640094703005266
18854,100000,433734001582668,-2610340425178033
20890,100000,-7593303224572080,870243333648957
18763,100000,5508615493250407,-3831684914024597
18883,100000,6835541235928906,5108097814043169
20081,100000,-6420456344998760,2939865979834710
19087,100000,-4503724249376371,-3311672014558046
18866,100000,7186381952530456,3375511735908010
18812,100000,8137221582389956,6838681174749145
18816,100000,5243009845845384,6620110445080865
18872,100000,2798582499837520,-650800742997681
18681,100000,-2536340307699190,4351788779382206
22698,100000,-3458674775854278,-3769150264563217
18685,100000,7325793379295115,6189204990701592
18825,100000,-6583506473989837,-5779896552032056
18793,100000,5749636794761022,-5359110827461140
18726,100000,-1710338481565252,-7048962731266612
18801,100000,7507791352933911,-5873270577090193
20175,100000,-105930503360413,1353331895034348
18817,100000,-7474704292686894,8611181227130215
18828,100000,5939097569245075,3029415931441394
19062,100000,-6345866304538654,-7618475648498733
21957,100000,1314860187677785,4613509590687022
19076,100000,-566192542679980,4647144707863880
19187,100000,-7239376737771716,7520300711557770
18931,100000,4431612470734020,6706084008322310
19060,100000,-7250565834097686,7659397242149361
18750,100000,-720157341031673,762738449962034
19049,100000,-4296348310891978,-4112442402809028
18949,100000,3581502588639052,-4119934279548649
20053,100000,-7157136222373515,7793115613853142
19015,100000,-1148195668709925,-6036653558253312
22070,100000,-5519711512346861,-5457760601253751
18855,100000,-2242783724679423,382086627775420
18799,100000,-7214468359169183,-8051216015857704
18662,100000,-4387114296073907,-7616783548889010
20292,100000,-369712684456704,-5810759347675743
18940,100000,6131409635610314,6571355419178329
