runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
6,3284,28377,250000,746590790,11
6,3273,28318,250000,65300037,25
6,3270,28586,250000,116166433,6
6,3277,28496,250000,1154893013,16
6,3280,29091,250000,738051472,30
6,3279,28373,250000,4155842770,6
6,3268,28372,250000,291684511,20
6,3277,28892,250000,2405293479,31
6,3265,28407,250000,1730819011,15
6,3278,28330,250000,2963064586,0
7,3765,29195,250000,1655715152,8
7,3754,28985,250000,2932384143,20
7,3805,27602,250000,3531221261,18
7,3782,28174,250000,3475957466,24
7,3873,29311,250000,4016992507,5
7,3842,29577,250000,1000692952,3
7,3920,29729,250000,1902593311,4
7,3841,28551,250000,203456919,16
7,3890,29891,250000,1386995087,24
7,4410,32871,250000,3705039011,7
7,3782,28247,250000,3166746069,19
7,3840,27620,250000,2704920949,2
7,3872,29238,250000,278267926,12
7,3938,29239,250000,2630504386,9
7,3920,30146,250000,2869746582,13
7,3775,28213,250000,4186009155,15
7,3887,30675,250000,1926651273,22
7,3729,30277,250000,3082135874,14
7,3820,29932,250000,3892537096,11
7,3801,31909,250000,3052607200,26
7,3826,32124,250000,4077459409,7
7,3776,29212,250000,1955950901,7
7,3782,28519,250000,2598071440,25
7,3903,38322,250000,4025705128,21
7,3802,28241,250000,123648842,11
7,3779,29136,250000,809355205,22
7,3786,35883,250000,3227976410,23
7,3862,28977,250000,1244922123,24
7,3930,31270,250000,2147522955,9
7,3710,29183,250000,2388478167,21
7,3756,33081,250000,2818638320,22
7,3953,28959,250000,1049828450,4
7,3839,29230,250000,3952392208,18
7,3734,29958,250000,1331484335,23
7,3753,30826,250000,1383025270,1
7,4074,31251,250000,1825413797,11
7,3951,29366,250000,4144571223,28
7,3902,32975,250000,3465303590,14
7,3733,29244,250000,1583596491,12
7,4002,29497,250000,4247928566,29
7,3738,28484,250000,1706955857,0
7,3717,29674,250000,1957013890,31
7,4065,29308,250000,898393853,14
7,3724,29572,250000,2355147315,8
7,4085,29444,250000,2205331102,0
7,3837,27951,250000,768567955,16
7,3763,30041,250000,1880723446,22
7,3736,29460,250000,440320391,31
7,3885,27641,250000,533419629,15
7,3753,29335,250000,1943473897,6
7,3853,33149,250000,757942139,19
7,3740,29985,250000,3739556579,15
7,4161,36057,250000,2965536328,0
7,3772,28917,250000,3821901325,5
7,3961,31584,250000,1745470487,0
7,4008,29881,250000,397299502,0
7,3865,30994,250000,2243621516,9
7,4079,34355,250000,1219778277,5
7,3828,27630,250000,1740642009,6
7,3729,32649,250000,41746248,22
7,3822,29367,250000,840417481,14
7,3685,30999,250000,2740321512,26
7,4014,30582,250000,3785300320,16
7,3702,29950,250000,318237671,27
7,3959,28371,250000,1653768105,30
7,3770,29365,250000,2407969886,27
7,3893,27995,250000,3803899967,27
7,3897,27640,250000,43680727,2
7,3710,28324,250000,2554526319,14
7,3863,27823,250000,1934591281,13
7,4064,30673,250000,1311939277,16
7,3962,27793,250000,1987263416,25
7,3987,27919,250000,2852368921,13
7,3909,37657,250000,101920342,1
7,3798,37252,250000,1130304290,13
7,3964,34565,250000,2601895125,1
7,3766,28980,250000,549147988,4
7,3715,28074,250000,4107350110,1
7,3819,29059,250000,3703850193,15
7,3883,29010,250000,598356457,13
7,3893,28926,250000,3278305438,15
7,3710,29042,250000,1742344037,22
7,3676,28690,250000,379933645,31
7,3865,27153,250000,1869411150,28
7,3789,27363,250000,58670139,16
7,3770,37904,250000,814760265,21
7,3694,27317,250000,2490537233,2
7,3874,33585,250000,2711619121,21
7,3837,35206,250000,2156427009,16
7,3842,28714,250000,1126642888,25
7,3882,28739,250000,3207342112,25
7,3983,29458,250000,20141120,3
7,3861,29681,250000,1744565867,25
7,3891,29722,250000,1420926546,7
7,3749,29173,250000,2354847544,3
7,3781,29322,250000,2548718840,26
7,3979,28975,250000,3868543221,8
7,3656,27848,250000,2083444622,12
7,3717,27330,250000,1560395810,0
7,3786,27463,250000,683793153,6
8,4210,28910,250000,2209469306,22
8,4165,30776,250000,1697121587,4
8,4174,30272,250000,2604084891,14
8,4174,29874,250000,714263831,14
8,4106,29919,250000,2625245659,23
8,4156,29525,250000,3731585473,14
8,4020,27725,250000,1855321545,17
8,4178,29720,250000,2000773375,29
8,3995,32074,250000,1745104886,15
8,4176,29731,250000,1947675490,27
8,3942,30479,250000,3229811186,29
8,4447,33178,250000,4244224993,0
8,4191,31514,250000,1709284694,6
8,4297,31525,250000,1243236468,19
8,4543,31874,250000,3308126390,16
8,4168,35860,250000,2587606324,2
8,4133,33817,250000,3825579106,23
8,4932,31753,250000,1827803964,11
8,3986,30930,250000,1776581747,6
8,4242,31296,250000,384601390,14
8,4165,33269,250000,2697153457,22
8,4165,31475,250000,1700814884,3
8,4229,29860,250000,3483431800,0
8,4153,30846,250000,3058333053,11
8,3981,30472,250000,2803264252,27
8,4175,31520,250000,4148131564,21
8,4302,30287,250000,4004754511,3
