runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
8,4733,27157,250000,2615497813,25
8,3911,27048,250000,3280424329,17
8,3955,27710,250000,325807615,19
8,3921,26942,250000,2279488422,9
8,3914,27135,250000,3197632047,6
8,3931,27027,250000,168728596,7
8,3915,26397,250000,2698101272,19
8,3904,26336,250000,249933882,17
8,3919,26656,250000,2569682506,30
8,3941,26824,250000,4240497373,18
8,3919,26757,250000,2437595991,25
8,3919,27035,250000,1042031701,12
8,3918,27238,250000,3742746171,0
8,3962,26780,250000,403829893,2
8,3911,27511,250000,2002440459,6
8,3905,26302,250000,1376078347,7
8,3904,27065,250000,3233574486,5
8,4733,26704,250000,4129100990,22
8,3918,27261,250000,3887386861,6
8,3940,26724,250000,7278984,26
8,3921,26913,250000,3456693668,21
8,3922,26901,250000,42523700,11
8,4003,26697,250000,859037728,6
8,4291,26797,250000,857116728,18
8,4577,26708,250000,547864951,25
8,3932,26404,250000,2387376474,11
8,4383,26822,250000,2153449966,21
8,3917,26669,250000,3206419933,19
8,3920,25911,250000,3481281781,22
8,3927,27482,250000,1343896149,15
8,3917,26617,250000,1089200707,26
8,4030,26678,250000,2799977057,12
8,3924,26563,250000,3475041396,10
8,3913,26166,250000,1934257773,22
8,3901,26374,250000,1116864967,2
8,3901,26191,250000,3183895574,11
8,4098,26120,250000,842802139,6
8,3964,26424,250000,1427369294,9
