runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
6,3245,24562,250000,1246320103
6,3271,24399,250000,2567634869
6,3268,24449,250000,2216641425
6,3301,24362,250000,1872966735
6,3270,24836,250000,1198547702
6,3272,24370,250000,1008879354
6,3307,24395,250000,2542083683
6,3270,24611,250000,4235172532
6,3277,24705,250000,2443194913
6,3274,24605,250000,3237880624
6,3286,24434,250000,948259171
6,3302,24439,250000,2930628258
6,3281,24597,250000,3977277402
6,3271,24893,250000,646011321
6,3275,24351,250000,352443182
6,3267,24470,250000,794429546
6,3268,24667,250000,2339795138
6,3272,24240,250000,2243254297
6,3272,24180,250000,1102751845
6,3269,24146,250000,2815722074
6,3272,24095,250000,371591782
6,3264,24389,250000,154856749
6,3269,24127,250000,1099043434
6,3270,24050,250000,730993856
6,3267,24512,250000,2576882687
6,3274,24155,250000,2317001979
6,3278,24273,250000,827367935
6,3265,24155,250000,2494668150
6,3286,24722,250000,2666940794
6,3272,24369,250000,3353611187
6,3268,24213,250000,4284717867
6,3271,24480,250000,2260544021
6,3270,24159,250000,2379601734
6,3272,24290,250000,2525058469
6,3281,24228,250000,873371663
6,3278,24244,250000,3262961890
6,3271,24730,250000,2360796297
6,3267,24200,250000,3044675709
6,3283,24250,250000,1826877476
6,3244,24283,250000,3162442120
6,3271,24279,250000,4267820797
6,3273,24332,250000,870150502
6,3268,24211,250000,2147050627
6,3268,24145,250000,547026411
6,3271,24734,250000,1706466832
6,3267,24480,250000,4055703347
6,3265,24771,250000,1125896012
6,3268,24700,250000,1237408095
6,3278,24478,250000,3085759217
6,3265,24534,250000,3890539215
6,3276,24686,250000,3894685481
6,3272,24452,250000,3740653980
6,3271,24393,250000,1957243390
6,3274,24393,250000,2896443327
6,3271,26508,250000,309931521
6,3266,25872,250000,4040584999
6,3266,25427,250000,3109668994
6,3276,26646,250000,4156764954
6,3265,27576,250000,777009914
6,3277,26510,250000,2665024205
6,3262,25572,250000,249855847
6,3263,25588,250000,2556354633
6,3268,27482,250000,3660833803
6,3267,26835,250000,1842003290
6,3265,26638,250000,144881754
6,3267,25664,250000,637687588
6,3265,26803,250000,1783213074
6,3265,24680,250000,2866636038
6,3272,24318,250000,3689085192
6,3267,24459,250000,2770667678
7,3784,25660,250000,1671692611
7,3970,25920,250000,208575887
7,3926,25670,250000,3058116686
7,3743,27782,250000,3273600978
7,3773,28029,250000,3981843559
7,3969,28521,250000,2371749344
7,3874,24700,250000,1787761310
7,3888,25598,250000,3895286456
7,3781,25833,250000,3919398867
7,3771,25231,250000,518519313
7,3670,25014,250000,2803712874
7,3859,27672,250000,740727617
7,3684,26879,250000,1213396421
7,3765,25637,250000,3881897744
7,3987,27750,250000,1022932137
7,3836,33364,250000,1661781645
7,4026,27728,250000,826289801
7,3860,29865,250000,428696965
7,3690,28573,250000,2855952165
7,3862,27430,250000,1624935488
7,4038,38162,250000,2437308475
7,3733,36348,250000,1125897671
7,3941,35547,250000,1120911035
7,3874,27363,250000,2052986763
7,4003,35559,250000,2560985103
7,3748,26753,250000,816434432
7,3934,28000,250000,49054164
7,3750,25665,250000,1771957792
7,3982,27170,250000,1773318641
7,3797,29786,250000,3860492576
7,3984,25349,250000,927590185
7,4218,28101,250000,970256924
7,3858,25566,250000,122174785
7,3739,26308,250000,401452538
7,3922,36505,250000,3630466099
7,3896,28741,250000,1712553999
7,3979,35270,250000,3209497361
7,3761,26438,250000,1485996825
7,3968,31235,250000,3503139180
7,3846,27033,250000,2865442783
7,3692,25953,250000,1781524819
7,3778,25726,250000,2731409230
7,3805,29350,250000,848024422
7,3751,26762,250000,510377725
7,3899,26010,250000,3109586386
7,3834,24924,250000,3197319446
7,4018,25429,250000,273476380
7,3975,29028,250000,1188033278
7,3656,26296,250000,3846199801
7,3690,26060,250000,2769993445
7,3838,28370,250000,3767641995
7,3746,24974,250000,553652774
7,3847,27189,250000,2134850217
7,3782,26742,250000,1317504769
7,3933,25549,250000,3428134644
7,3762,28065,250000,115230835
7,3927,27431,250000,1325648168
7,3727,26691,250000,3858467908
7,4042,26997,250000,2782335891
7,3694,27039,250000,448265487
7,3880,26104,250000,2830160357
7,3597,26189,250000,2687333349
7,3846,33680,250000,2938464348
7,3792,29667,250000,3761455716
7,3872,27504,250000,842085162
7,3796,25712,250000,3687071398
7,3730,25859,250000,3567595108
7,3784,24927,250000,3010377545
7,3966,28266,250000,1825762974
7,3942,28823,250000,1046261273
7,3831,27540,250000,3110264617
7,3689,26538,250000,3997838073
7,3744,27052,250000,1182222926
7,3820,31367,250000,1898420206
7,3940,27901,250000,97080025
7,3911,28762,250000,4031678084
7,3823,27263,250000,1952274199
7,3892,32498,250000,1772433370
7,4038,27863,250000,4020802121
7,3900,26307,250000,3603841054
7,3887,27771,250000,1742772545
7,3928,27830,250000,166798805
7,3793,34968,250000,3342011191
7,3793,28191,250000,3689629800
7,3961,28217,250000,3452515956
7,3910,32694,250000,2760162695
7,3957,25917,250000,2609214039
7,3948,26414,250000,1233689998
7,3708,28902,250000,1881765269
7,4024,30353,250000,601455157
7,3874,31160,250000,2692245088
7,3932,26693,250000,3430084300
7,4090,28748,250000,801329263
7,3754,27636,250000,3923711163
7,3906,26571,250000,941066190
7,3770,26877,250000,3818084782
7,4036,27001,250000,2385077792
7,3940,27444,250000,3932459441
7,4064,26943,250000,1136672688
7,3957,26901,250000,2984929822
8,4484,30138,250000,3859792509
8,4326,31347,250000,4062621839
8,4386,30538,250000,1061818339
8,3988,30421,250000,330783268
8,4050,28977,250000,1894619318
8,4266,30613,250000,1475694796
8,4544,31316,250000,4056254626
8,3996,27341,250000,2612065672
8,4136,33861,250000,1687867776
8,4348,28800,250000,2951762860
8,3978,27503,250000,155292863
8,4226,28998,250000,832625754
8,4382,30474,250000,816873065
8,4009,32075,250000,1715731047
8,4255,34804,250000,3051796221
8,4609,28173,250000,1763996763
8,3967,32601,250000,1194301801
8,4122,27173,250000,3343573306
8,4960,37059,250000,711492305
8,4020,28726,250000,1903072980
8,4204,29637,250000,2540798332
8,3951,27800,250000,1647170545
8,4413,31752,250000,19803910
8,4194,30521,250000,815293585
8,4279,28714,250000,3476483612
8,5149,28087,250000,1274606655
8,4807,35117,250000,1249551420
8,4253,31836,250000,3140187036
8,4430,31729,250000,3926892053
8,4217,31202,250000,266719778
8,4442,30143,250000,2506750702
8,4349,34783,250000,2028063170
8,4060,37071,250000,949492605
8,3973,27893,250000,4179474755
8,4459,30603,250000,2488378739
8,4116,29399,250000,2003961887
8,4022,33164,250000,1114095782
8,4165,29877,250000,257329061
8,4117,28870,250000,1326994117
8,4350,30409,250000,2421731627
8,4067,31028,250000,852414037
8,4671,30862,250000,1391051173
8,4110,27853,250000,3881889745
8,4483,30258,250000,4221870193
8,4555,28482,250000,952093019
8,4074,34851,250000,4058206070
8,4055,31634,250000,2753686739
8,4321,32317,250000,2346977559
8,4110,29845,250000,4092688966
8,4325,28491,250000,1549396982
8,4319,30326,250000,3027889473
8,4027,28650,250000,3253821893
8,4516,30179,250000,515018434
8,4221,27689,250000,3447693993
8,4072,28942,250000,730802924
8,4447,31238,250000,581733745
8,4049,31661,250000,1117803370
8,4113,30774,250000,3482311737
8,4166,36952,250000,4135621936
8,4312,30302,250000,3818129371
8,4396,30154,250000,3068795970
8,4462,31308,250000,2052869374
8,4078,27748,250000,1271048541
8,4155,30594,250000,3536140078
8,4059,35183,250000,1894369521
8,4155,29600,250000,1328330968
8,4322,29193,250000,2629041040
8,4170,28481,250000,1000935674
8,3931,30608,250000,886934638
8,4361,31714,250000,785414965
8,4250,30052,250000,3392096419
8,4170,30481,250000,4120608009
8,4527,30498,250000,1367968719
8,4501,29906,250000,958813423
8,4050,27542,250000,3678126427
8,4038,30895,250000,3329517316
8,4025,28468,250000,2788879502
8,4554,29669,250000,3155478322
8,4261,34992,250000,943472609
8,3939,29485,250000,3444734833
8,4067,37276,250000,2627237769
8,4080,29090,250000,1285384595
8,4280,29822,250000,2299496766
8,4354,29137,250000,495797373
8,4799,30860,250000,1293083221
8,4124,28941,250000,275293896
8,5224,30399,250000,627971743
8,4202,29430,250000,1540784860
8,4087,29712,250000,3382222857
8,5215,28740,250000,2760060873
8,4281,29948,250000,1647488548
