runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.float
4,4646,40205,10000,Buffer[773],115,-25138442.920862913
4,4694,42545,10000,Buffer[1015],74,417072918.36874056
4,3898,36303,10000,Buffer[922],67,-841547216.1807638
4,3978,41534,10000,Buffer[811],68,2016063424.8360424
4,3897,37297,10000,Buffer[1010],70,-1967422619.3139708
4,3898,43868,10000,Buffer[798],81,-1170816356.4468057
4,3993,38320,10000,Buffer[691],70,1088938420.543005
4,4035,47259,10000,Buffer[742],92,-1604174570.6605995
4,4051,36934,10000,Buffer[647],41,-245675258.40111125
4,3976,42172,10000,Buffer[769],52,720723718.9182119
4,3916,37154,10000,Buffer[768],32,-918885640.1522919
4,3901,37654,10000,Buffer[747],105,506278926.82323337
4,3900,36780,10000,Buffer[762],62,154399231.41196394
4,3902,38551,10000,Buffer[895],28,-976954525.1779025
4,3904,36137,10000,Buffer[648],16,-1733737274.644825
4,3903,37945,10000,Buffer[599],65,363741510.93345165
4,3905,37293,10000,Buffer[963],27,-478341106.7957748
4,3903,35933,10000,Buffer[793],120,333237417.3362634
4,5646,36017,10000,Buffer[864],77,-1334214338.6930966
5,3897,31172,10000,Buffer[839],53,-890506467.3398945
5,3898,36783,10000,Buffer[966],14,-491316760.7935406
5,3901,42648,10000,Buffer[933],65,2092302696.6159325
5,3900,41227,10000,Buffer[671],11,-464303202.4907267
5,3910,35978,10000,Buffer[733],109,-1184658466.7957833
5,3906,44442,10000,Buffer[813],29,736950321.7439227
5,3900,44896,10000,Buffer[765],81,1651016335.8971922
5,3921,31047,10000,Buffer[636],102,806236385.1596642
5,3908,41254,10000,Buffer[759],76,-913634527.7624829
5,3909,41298,10000,Buffer[987],100,-1345705159.767588
5,4362,39344,10000,Buffer[611],3,-801913936.0941802
5,3907,37186,10000,Buffer[879],70,-913921948.0269923
5,3910,42595,10000,Buffer[594],71,-311058633.4016162
5,3948,40617,10000,Buffer[611],83,1398752230.3349702
5,3912,33502,10000,Buffer[757],119,-748567685.7168447
5,3936,36353,10000,Buffer[829],91,696151645.1164203
5,3907,38478,10000,Buffer[858],68,1000130218.7336388
5,4881,40325,10000,Buffer[950],81,1523439418.529582
5,3910,42404,10000,Buffer[664],96,601780986.136636
5,3909,40214,10000,Buffer[833],104,1245395223.236693
5,3908,43262,10000,Buffer[769],65,1901573369.8794973
5,4120,41199,10000,Buffer[1020],115,913969094.8943267
5,4880,44442,10000,Buffer[585],70,1624360006.5484397
5,4880,39523,10000,Buffer[731],51,551598813.1631515
5,3908,48854,10000,Buffer[790],87,-1773318834.6923702
5,4880,40862,10000,Buffer[653],16,449236294.60370183
5,3905,41096,10000,Buffer[585],67,567617289.8118124
5,3914,40916,10000,Buffer[527],38,-632873361.3737981
5,3910,36014,10000,Buffer[969],67,-434636466.1577765
5,4925,40414,10000,Buffer[949],20,343090616.6630361
5,3914,40249,10000,Buffer[653],33,714297207.5613832
5,3927,40893,10000,Buffer[671],19,-1366506415.154241
5,3939,41295,10000,Buffer[902],63,-675939448.0632428
