runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
7,3907,27783,250000,3864283478982701
7,3907,27929,250000,4999855806490754
7,3940,27852,250000,8681445102803112
7,3978,27829,250000,6617172117349900
7,3907,27889,250000,4848870982579971
7,3999,27787,250000,4838198647190219
7,3909,27942,250000,4974066456587610
7,3902,27841,250000,5581537532807663
7,3918,27847,250000,3265836979273383
7,3958,27820,250000,3330434123086621
7,3913,27991,250000,4160812999660138
7,3906,27819,250000,7938752348464828
7,3912,27751,250000,36128372213005
7,3933,27892,250000,4810728362540050
7,3906,27667,250000,2875450253240994
7,4552,27717,250000,925017140771405
7,4723,27729,250000,1128247479039213
7,4304,27749,250000,2847367010926789
7,4608,27877,250000,2393285636800427
7,4877,27649,250000,8771217095462289
7,4389,27700,250000,4395091916716908
7,4739,28752,250000,2415340494315530
7,4165,27767,250000,4716618990173690
7,4468,27670,250000,4918197070614411
7,4761,27905,250000,6271374000758825
7,4253,27658,250000,740211089586882
7,4547,27809,250000,6070802960959512
7,3957,27737,250000,1456402125128299
7,4334,27898,250000,3756849939273619
7,4620,27720,250000,3328603061098308
7,4890,27800,250000,5754919790399472
7,4406,27785,250000,6921061149220289
7,4695,27736,250000,1181531305134177
7,4227,27704,250000,5063835506365901
7,4482,27727,250000,679438607483414
7,4775,27804,250000,7347162985203174
7,4285,27764,250000,7853815375497656
7,4561,27738,250000,7716787674595462
7,4851,27819,250000,6454997272626080
7,4394,27694,250000,7001451281707910
7,4648,27698,250000,1408919431752260
7,4589,27926,250000,5737720862512385
7,4419,27784,250000,4611197679288164
7,4711,27787,250000,1111800244152524
7,4219,27833,250000,3045784379652696
7,4551,27790,250000,4097463894154871
7,4797,27713,250000,6040069009445960
7,4295,27814,250000,3938015712745602
7,4584,27819,250000,1408620503108070
7,4867,27724,250000,5493582372068089
7,4367,27669,250000,3932122377295409
7,4701,27635,250000,980312131955907
7,4873,27889,250000,7890932997200173
7,4436,27675,250000,2140950176714892
7,4740,27729,250000,6912820989927735
7,4227,27691,250000,3978185785703554
7,3899,27672,250000,8750714409633952
7,4845,27878,250000,1944469724876288
7,3904,27858,250000,76331008287517
7,3905,27778,250000,1732396022403592
7,4688,27972,250000,238314955603562
7,3903,27871,250000,7557904530222152
7,4651,27985,250000,1784910574746697
7,4978,27773,250000,175551199636452
8,4171,27704,250000,314880935827565
8,4494,28154,250000,7530625792902393
8,3921,28425,250000,3085113485612452
8,4241,28711,250000,4720479008248861
8,4003,27789,250000,5888508816133037
8,3937,29538,250000,727723370234258
8,3917,30105,250000,636120190361694
8,3966,27974,250000,7733630154879466
8,4134,28111,250000,6906045660055135
8,4406,28540,250000,4981573583799708
8,3977,27946,250000,8318205936398783
8,3914,27801,250000,7482081686349168
8,4480,28542,250000,7157846769543502
8,4739,27927,250000,3569213971752077
8,4291,27954,250000,4936071645487080
8,4574,27813,250000,4011419631081956
8,4936,29938,250000,8105050380191539
8,3907,28093,250000,7629793083964211
8,4666,27876,250000,4756033713499247
8,4146,27904,250000,1515159133414121
8,3914,28758,250000,512531224559080
8,4732,27900,250000,8010892782375578
8,3961,27944,250000,7637324125099342
8,3914,28146,250000,1986334025440137
8,4720,28230,250000,3741032016285131
8,3915,27903,250000,1948532537388296
8,4581,27968,250000,1387146294684135
8,4878,27870,250000,4519733693895514
8,4447,27668,250000,5946407461715110
8,4667,27736,250000,4858048551563591
8,3904,27927,250000,167968504283342
8,4477,27800,250000,5210035764945081
8,4753,29437,250000,3674081786754168
8,4244,27918,250000,3887984300921148
8,4583,27609,250000,7505324522189863
8,4875,27837,250000,3276656948406336
8,4324,27699,250000,6305799677538246
8,3926,29762,250000,4739223418703859
8,3906,27872,250000,1355688734761199
8,4073,27754,250000,7288135048780049
8,3964,27687,250000,5432793337533143
8,4180,29963,250000,3927836724720747
8,3903,27745,250000,6425557096278205
8,3950,27813,250000,3283597871743213
8,4264,28074,250000,1001223626927566
8,3929,28877,250000,8447948475978457
8,4005,28360,250000,1736286614248954
8,3908,28352,250000,5637449202197102
8,3923,27749,250000,562321972159682
8,3928,27885,250000,1539654535965211
