elapsed.ps,repeats.n,param.array.array,param.index.integer
21502,100000,array<integer>[100],70
17672,100000,array<integer>[100],7
16871,100000,array<integer>[100],2
17432,100000,array<integer>[100],68
19632,100000,array<integer>[100],92
16968,100000,array<integer>[100],48
17561,100000,array<integer>[100],99
17536,100000,array<integer>[100],21
17512,100000,array<integer>[100],70
23186,100000,array<integer>[100],91
16826,100000,array<integer>[100],65
17516,100000,array<integer>[100],45
19202,100000,array<integer>[100],9
17536,100000,array<integer>[100],88
20785,100000,array<integer>[100],34
17886,100000,array<integer>[100],36
16838,100000,array<integer>[100],3
16851,100000,array<integer>[100],75
17030,100000,array<integer>[100],51
16758,100000,array<integer>[100],78
16661,100000,array<integer>[100],9
16168,100000,array<integer>[100],19
16374,100000,array<integer>[100],13
16254,100000,array<integer>[100],81
16563,100000,array<integer>[100],34
16842,100000,array<integer>[100],57
16221,100000,array<integer>[100],15
16183,100000,array<integer>[100],32
16441,100000,array<integer>[100],15
16373,100000,array<integer>[100],23
19406,100000,array<integer>[100],10
16206,100000,array<integer>[100],59
16611,100000,array<integer>[100],71
16552,100000,array<integer>[100],48
16913,100000,array<integer>[100],93
17141,100000,array<integer>[100],94
22141,100000,array<integer>[100],42
17696,100000,array<integer>[100],51
17860,100000,array<integer>[100],27
18192,100000,array<integer>[100],40
17000,100000,array<integer>[100],36
17062,100000,array<integer>[100],72
16820,100000,array<integer>[100],53
16753,100000,array<integer>[100],34
17068,100000,array<integer>[100],91
16851,100000,array<integer>[100],10
17636,100000,array<integer>[100],84
17681,100000,array<integer>[100],90
18102,100000,array<integer>[100],46
25313,100000,array<integer>[100],21
19439,100000,array<integer>[100],32
16695,100000,array<integer>[100],28
16630,100000,array<integer>[100],20
16716,100000,array<integer>[100],79
16885,100000,array<integer>[100],41
21066,100000,array<integer>[100],98
18186,100000,array<integer>[100],44
17341,100000,array<integer>[100],3
17147,100000,array<integer>[100],37
22774,100000,array<integer>[100],65
25127,100000,array<integer>[100],80
23215,100000,array<integer>[100],78
16587,100000,array<integer>[100],67
16893,100000,array<integer>[100],85
16724,100000,array<integer>[100],89
21232,100000,array<integer>[100],31
24209,100000,array<integer>[100],4
24486,100000,array<integer>[100],38
16715,100000,array<integer>[100],62
17111,100000,array<integer>[100],53
16445,100000,array<integer>[100],16
17076,100000,array<integer>[100],91
17662,100000,array<integer>[100],55
18567,100000,array<integer>[100],58
25030,100000,array<integer>[100],47
22387,100000,array<integer>[100],80
16477,100000,array<integer>[100],73
19236,100000,array<integer>[100],17
18394,100000,array<integer>[100],72
19850,100000,array<integer>[100],34
20934,100000,array<integer>[100],22
21632,100000,array<integer>[100],67
16512,100000,array<integer>[100],7
16448,100000,array<integer>[100],56
17028,100000,array<integer>[100],66
19211,100000,array<integer>[100],68
19976,100000,array<integer>[100],63
23319,100000,array<integer>[100],83
18729,100000,array<integer>[100],50
16753,100000,array<integer>[100],17
18578,100000,array<integer>[100],68
19650,100000,array<integer>[100],26
18363,100000,array<integer>[100],1
23140,100000,array<integer>[100],70
17533,100000,array<integer>[100],45
16945,100000,array<integer>[100],85
17510,100000,array<integer>[100],26
18381,100000,array<integer>[100],17
19052,100000,array<integer>[100],48
17723,100000,array<integer>[100],16
18708,100000,array<integer>[100],12
23685,100000,array<integer>[100],62
18400,100000,array<integer>[100],96
18552,100000,array<integer>[100],20
16537,100000,array<integer>[100],43
16719,100000,array<integer>[100],19
23101,100000,array<integer>[100],11
23563,100000,array<integer>[100],65
21090,100000,array<integer>[100],94
23109,100000,array<integer>[100],34
20066,100000,array<integer>[100],19
16496,100000,array<integer>[100],90
16689,100000,array<integer>[100],38
17448,100000,array<integer>[100],99
18202,100000,array<integer>[100],87
20309,100000,array<integer>[100],18
20169,100000,array<integer>[100],16
16721,100000,array<integer>[100],73
16499,100000,array<integer>[100],77
