runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
5,4023,37150,250000,3338990493,2218410294,15,15
5,4087,40414,250000,2643309554,353638639,13,16
5,4087,39280,250000,2359059639,3799417778,14,11
5,3946,37266,250000,3376529927,2120352705,14,7
5,4122,40827,250000,3540183357,3143995056,1,3
5,4159,36299,250000,1647070969,3567813388,3,3
5,4052,36913,250000,2948523056,470611265,9,8
5,4071,37350,250000,1742317244,3876011991,9,1
5,3926,37463,250000,478388442,3708840018,7,6
5,3972,38155,250000,3053504611,2021153041,6,11
5,4095,36119,250000,325160796,715453278,7,2
5,4058,37156,250000,768659501,2866156239,13,7
5,4008,40814,250000,1650852247,3927640177,5,14
5,4028,39115,250000,4187595910,597028364,10,4
5,4567,43859,250000,2473733948,4009618575,3,3
5,4062,42987,250000,4140160481,3910458777,1,3
5,4007,37727,250000,2439570331,2077582826,4,8
5,4153,45060,250000,541300760,677245489,7,9
5,4006,37204,250000,293491155,1619276657,3,10
5,3979,37713,250000,1165851583,3309851417,4,15
5,3981,45800,250000,2500589872,483631670,12,3
5,3924,42375,250000,2402084661,3896988683,5,2
5,3974,48724,250000,587120578,1932422836,2,9
5,4036,38628,250000,2090487580,803831785,9,3
5,3951,39129,250000,3169777474,2227251897,9,1
5,4111,36541,250000,4170171777,367104512,2,5
5,4054,37319,250000,3106387318,3030328918,15,10
5,4025,37215,250000,3387583527,2777424226,6,4
5,3947,37637,250000,1673930560,23493405,9,7
5,4154,40634,250000,2934240871,4160350169,1,11
5,4064,39943,250000,1966594267,4168715663,8,14
5,4128,37418,250000,1230888409,102683761,4,15
5,3953,36566,250000,758659607,2251877447,12,11
5,4673,44356,250000,158734803,3917767052,6,1
5,4075,36670,250000,328742934,1583976039,5,12
5,4167,36631,250000,633155880,1864547849,6,2
5,4013,37401,250000,1518976633,2254473052,11,3
5,4053,39028,250000,4107859020,1834298043,0,6
5,3939,38221,250000,999044412,2788768767,7,6
5,3955,41179,250000,902427547,1339872971,2,5
5,4468,39410,250000,3673495523,3772649700,3,3
5,4090,40179,250000,482882869,1279155174,14,16
5,3954,37089,250000,2430835431,519724253,12,10
5,5206,40916,250000,3335339189,2422116445,8,1
5,4002,40132,250000,899059804,840726965,1,6
5,4154,37238,250000,3030131180,3069504830,14,1
5,4388,40167,250000,3001188692,1602002191,12,8
5,4061,39204,250000,3882826901,1107646106,10,14
5,3964,37422,250000,2124563495,1691392904,2,15
5,4095,39170,250000,3721779004,835909293,14,7
5,4068,39069,250000,763757567,1046130646,5,8
5,4289,38679,250000,4078789851,1369943963,14,4
5,3928,36833,250000,2584584733,1785557642,4,3
5,4122,40871,250000,3429458839,1913802705,7,8
5,4024,39890,250000,1400726524,3148547819,1,9
5,4079,37961,250000,2656140935,2902260480,13,13
5,4021,38027,250000,3753693053,119469689,4,14
5,4060,37955,250000,1520956909,2854660223,9,16
5,4038,37549,250000,2868323433,731456959,10,7
5,4020,37165,250000,2161242659,3993492616,6,10
5,3939,42588,250000,1628625045,3281959882,13,12
5,3955,37111,250000,3865668896,579946183,2,7
5,4049,36849,250000,1053391017,403780817,5,16
5,4150,37717,250000,2274691646,1221736933,3,13
5,4133,38562,250000,2216167911,4178529463,8,1
5,4189,39438,250000,1903974412,227671356,0,16
5,4248,40632,250000,3216660294,3892305064,0,12
5,4081,42107,250000,3718160467,1597593583,4,4
5,3965,38355,250000,1963520142,1262241723,8,2
5,4051,38548,250000,1998040075,3982477453,8,5
5,3929,37855,250000,2391759178,435911185,2,3
5,4104,37103,250000,3379734528,3177553906,2,12
5,3901,36296,250000,831062531,1784949500,12,9
5,3943,37443,250000,1685755079,2704150332,9,4
5,4021,45066,250000,2397733560,3036533920,10,2
5,4158,38986,250000,2583872559,2969508262,15,12
5,3919,38893,250000,879849971,3145963504,9,11
5,4057,39037,250000,854431897,855977653,9,13
5,3931,42704,250000,3945087346,2565783235,13,1
5,3957,40387,250000,3266396462,82420351,3,6
5,3955,45207,250000,1387336319,2376323939,11,4
5,4111,35947,250000,3177617870,4056107986,11,5
5,12035,37626,250000,718849449,704482669,3,13
5,4067,37760,250000,3525957770,1768894472,6,12
5,3971,36356,250000,1394899568,357560578,11,15
5,4050,37002,250000,2071463835,2816119457,1,6
6,3609,33039,250000,3498204296,3115199098,11,11
6,3632,32269,250000,3949724750,2769104088,7,12
6,3718,32171,250000,348561531,463919644,13,14
6,3606,33574,250000,3678918825,840850584,6,12
6,3598,32004,250000,1185386803,2914586872,14,6
6,3644,31568,250000,1343485459,4047479926,15,10
6,3554,32660,250000,2866757757,918158983,9,11
6,3556,35165,250000,2861317282,3165980639,8,12
6,3544,35932,250000,2470941948,2186922821,15,4
6,3732,35525,250000,1451806400,2626356735,1,2
6,3556,32074,250000,4074141671,109566759,7,13
6,3758,35330,250000,118580642,4063801341,2,13
6,3664,37250,250000,187491746,3671451197,14,13
6,3551,32627,250000,3542890514,3479027067,14,3
6,3621,33075,250000,1452304236,2643079747,3,3
6,3503,37886,250000,3169607510,4017284692,14,4
6,3499,34165,250000,2704118046,1739444028,12,15
6,3522,37051,250000,709954598,3110373002,2,10
6,3637,38669,250000,510379444,240610909,1,16
6,3609,32788,250000,450589856,291145880,4,15
