runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.float,param.g.float,param.b.float
2,5238,74306,50000,0.00146715690938926,0.6602758888015241,0.6823334031442166
2,5016,74125,50000,0.4119332224559756,0.28312912425072795,0.452462377236508
2,5014,74742,50000,0.8378829209327691,0.4124609080439699,0.703133701725722
2,5176,73920,50000,0.2573944073747518,0.8809552736074238,0.16074647577014434
2,5034,76781,50000,0.5873033386603214,0.7314549192907621,0.48498560528208445
2,5014,74429,50000,0.49120519105082394,0.512476162882981,0.6606178245178228
2,5223,74645,50000,0.4480123417939384,0.5144805730197429,0.7926659661946336
2,5015,74232,50000,0.22945553367202626,0.8043562671041532,0.656491477589878
2,5015,75557,50000,0.889477459031396,0.18177102339155984,0.6741283624955812
2,5170,74680,50000,0.129162088568648,0.7336539883851071,0.4852672723293899
2,5014,75013,50000,0.8661328734741914,0.2145196898478671,0.3354031693735512
2,5033,74684,50000,0.40478098764877685,0.18399818938075255,0.4576097835318247
2,5134,74549,50000,0.1446760810636947,0.4178167283699391,0.8115792702573815
2,5015,75403,50000,0.7512576613436749,0.2800347042822243,0.8251754540568104
2,5015,75152,50000,0.7326547274126802,0.5679039047857175,0.6224244487055104
2,5267,74283,50000,0.37678599196031953,0.98661361390022,0.8692177095851572
2,5015,75595,50000,0.6012860581896879,0.20991943046376912,0.6323825351018931
2,5015,75278,50000,0.482972690781486,0.33088426169704976,0.6632617490970961
2,6305,77663,50000,0.3065628745976636,0.3249694328509132,0.13776441516453106
2,5016,74957,50000,0.6913403476929648,0.889781089398318,0.9952982789920245
2,5014,74392,50000,0.18839298091685808,0.5770678361592063,0.45497057952322106
2,5162,74519,50000,0.7628747392007312,0.34195709525315676,0.3736455018148557
2,5014,74879,50000,0.6385081144983776,0.2941104339439605,0.5577480740497975
2,5014,74923,50000,0.6718770860798322,0.4557532090925455,0.4582331059532719
2,5155,74593,50000,0.42271029165854157,0.520411450290204,0.8427206514922627
2,5033,74741,50000,0.7665262332665704,0.8156494659662427,0.8578426021452352
2,5013,74445,50000,0.7565718419270002,0.09662822612594581,0.9822074270473354
2,5141,74647,50000,0.18315639204233172,0.9237213829260805,0.8126869064221627
2,5014,74643,50000,0.2617805636910291,0.40620069140500653,0.1914317179704093
2,5014,74085,50000,0.6345695239901554,0.5037404832779061,0.767433725105868
2,5484,74169,50000,0.4156214906860419,0.3160492559449558,0.1007111031764935
2,5013,74107,50000,0.5524455494967719,0.6376656514771297,0.8113365516326556
