runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.start.vector2,param.finish.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
8,600005,18699997,1,EditableImage[1024][1024],Vector2(1023;177),Vector2(694;31),Color3(30;41;65),0.6000000000000001,ImageCombineType(Multiply)
8,500004,35600010,1,EditableImage[2048][2048],Vector2(1162;112),Vector2(1996;211),Color3(205;26;152),0.30000000000000004,ImageCombineType(Overwrite)
8,400004,35700010,1,EditableImage[2048][2048],Vector2(463;554),Vector2(1328;1320),Color3(137;104;201),0.6000000000000001,ImageCombineType(Overwrite)
8,500004,23500005,1,EditableImage[2048][2048],Vector2(1709;1487),Vector2(1584;118),Color3(127;118;145),0.9,ImageCombineType(Overwrite)
8,400004,37199993,1,EditableImage[2048][2048],Vector2(1845;826),Vector2(905;1571),Color3(252;217;147),0.1,ImageCombineType(AlphaBlend)
8,600005,19900007,1,EditableImage[1024][1024],Vector2(1023;250),Vector2(468;339),Color3(156;190;112),0.30000000000000004,ImageCombineType(AlphaBlend)
8,400004,52799995,1,EditableImage[2048][2048],Vector2(2029;1138),Vector2(1662;300),Color3(102;25;227),0.6000000000000001,ImageCombineType(AlphaBlend)
8,400004,11900004,1,EditableImage[256][256],Vector2(254;254),Vector2(255;255),Color3(144;105;99),0.8,ImageCombineType(Add)
8,400004,32100012,1,EditableImage[2048][2048],Vector2(1845;1366),Vector2(241;1541),Color3(66;61;166),0.30000000000000004,ImageCombineType(Overwrite)
8,400004,12400008,1,EditableImage[2048][2048],Vector2(1290;27),Vector2(1275;469),Color3(25;20;117),0.4,ImageCombineType(AlphaBlend)
8,300003,120099984,1,EditableImage[2048][2048],Vector2(376;691),Vector2(1174;1872),Color3(196;196;52),0.4,ImageCombineType(Add)
8,800007,60199993,1,EditableImage[2048][2048],Vector2(844;643),Vector2(615;56),Color3(234;9;9),0.5,ImageCombineType(Add)
8,299974,38600003,1,EditableImage[2048][2048],Vector2(1364;790),Vector2(108;209),Color3(61;219;211),0.7000000000000001,ImageCombineType(BlendSourceOver)
8,500004,19799977,1,EditableImage[2048][2048],Vector2(280;852),Vector2(310;1650),Color3(167;116;154),0.1,ImageCombineType(AlphaBlend)
8,300003,20999986,1,EditableImage[2048][2048],Vector2(1764;1911),Vector2(741;2043),Color3(85;243;95),0.9,ImageCombineType(AlphaBlend)
8,300003,24100009,1,EditableImage[2048][2048],Vector2(2014;1698),Vector2(697;366),Color3(223;220;125),0.5,ImageCombineType(Multiply)
8,400004,33199991,1,EditableImage[2048][2048],Vector2(561;882),Vector2(1137;70),Color3(196;84;16),0.7000000000000001,ImageCombineType(AlphaBlend)
8,599976,22499997,1,EditableImage[2048][2048],Vector2(592;1683),Vector2(424;693),Color3(55;186;130),0.5,ImageCombineType(BlendSourceOver)
8,200002,45399997,1,EditableImage[2048][2048],Vector2(1322;471),Vector2(312;1893),Color3(246;104;60),0.6000000000000001,ImageCombineType(AlphaBlend)
8,700006,58899983,1,EditableImage[1024][1024],Vector2(1023;286),Vector2(263;852),Color3(248;97;158),0.8,ImageCombineType(Overwrite)
8,400004,19700005,1,EditableImage[2048][2048],Vector2(1299;1159),Vector2(860;999),Color3(54;34;73),0.7000000000000001,ImageCombineType(Multiply)
8,400004,11700002,1,EditableImage[1024][1024],Vector2(250;1023),Vector2(825;1023),Color3(227;148;107),0.30000000000000004,ImageCombineType(BlendSourceOver)
8,300003,9699987,1,EditableImage[1024][1024],Vector2(1023;730),Vector2(1023;409),Color3(117;9;15),0.9,ImageCombineType(Overwrite)
8,400004,27599978,1,EditableImage[2048][2048],Vector2(263;558),Vector2(1406;328),Color3(249;85;194),0.9,ImageCombineType(Multiply)
8,800007,66899986,1,EditableImage[2048][2048],Vector2(425;1651),Vector2(777;1001),Color3(44;186;11),0.7000000000000001,ImageCombineType(Add)
8,300003,32300014,1,EditableImage[2048][2048],Vector2(1820;1925),Vector2(1188;1113),Color3(148;64;124),0.8,ImageCombineType(AlphaBlend)
8,300003,77100006,1,EditableImage[2048][2048],Vector2(1103;1978),Vector2(1488;1031),Color3(176;187;196),0.5,ImageCombineType(BlendSourceOver)
8,400004,45499998,1,EditableImage[2048][2048],Vector2(681;1918),Vector2(1256;686),Color3(200;58;8),0,ImageCombineType(Overwrite)
8,500004,20199980,1,EditableImage[1024][1024],Vector2(836;1023),Vector2(67;850),Color3(239;215;120),0.8,ImageCombineType(Add)
8,200002,51499985,1,EditableImage[2048][2048],Vector2(353;332),Vector2(2011;1739),Color3(85;104;21),0.5,ImageCombineType(Multiply)
8,500004,82599989,1,EditableImage[2048][2048],Vector2(1725;346),Vector2(1162;1435),Color3(155;120;61),0.9,ImageCombineType(BlendSourceOver)
