elapsed.ps,repeats.n,param.array.array
21774,100000,array<integer>[3]
21497,100000,array<integer>[3]
21525,100000,array<integer>[3]
21807,100000,array<integer>[3]
21490,100000,array<integer>[3]
21627,100000,array<integer>[3]
22157,100000,array<integer>[3]
21454,100000,array<integer>[3]
21683,100000,array<integer>[3]
21601,100000,array<integer>[3]
21567,100000,array<integer>[3]
24048,100000,array<integer>[3]
28546,100000,array<integer>[3]
29659,100000,array<integer>[3]
27026,100000,array<integer>[3]
21820,100000,array<integer>[3]
21464,100000,array<integer>[3]
21411,100000,array<integer>[3]
21429,100000,array<integer>[3]
21666,100000,array<integer>[3]
21881,100000,array<integer>[3]
21602,100000,array<integer>[3]
21571,100000,array<integer>[3]
21672,100000,array<integer>[3]
21525,100000,array<integer>[3]
21597,100000,array<integer>[3]
21514,100000,array<integer>[3]
21778,100000,array<integer>[3]
21789,100000,array<integer>[3]
21541,100000,array<integer>[3]
21612,100000,array<integer>[3]
21858,100000,array<integer>[3]
21858,100000,array<integer>[3]
22031,100000,array<integer>[3]
21865,100000,array<integer>[3]
21650,100000,array<integer>[3]
21628,100000,array<integer>[3]
21538,100000,array<integer>[3]
21600,100000,array<integer>[3]
21654,100000,array<integer>[3]
21449,100000,array<integer>[3]
21289,100000,array<integer>[3]
21637,100000,array<integer>[3]
21687,100000,array<integer>[3]
21485,100000,array<integer>[3]
21458,100000,array<integer>[3]
29553,100000,array<integer>[3]
22377,100000,array<integer>[3]
21843,100000,array<integer>[3]
21741,100000,array<integer>[3]
21680,100000,array<integer>[3]
23784,100000,array<integer>[3]
29625,100000,array<integer>[3]
29732,100000,array<integer>[3]
21755,100000,array<integer>[3]
21708,100000,array<integer>[3]
21747,100000,array<integer>[3]
21801,100000,array<integer>[3]
21846,100000,array<integer>[3]
25256,100000,array<integer>[3]
22227,100000,array<integer>[3]
21656,100000,array<integer>[3]
21590,100000,array<integer>[3]
21548,100000,array<integer>[3]
21510,100000,array<integer>[3]
21681,100000,array<integer>[3]
21925,100000,array<integer>[3]
21948,100000,array<integer>[3]
21969,100000,array<integer>[3]
21581,100000,array<integer>[3]
21501,100000,array<integer>[3]
24869,100000,array<integer>[3]
21592,100000,array<integer>[3]
21456,100000,array<integer>[3]
23238,100000,array<integer>[3]
21494,100000,array<integer>[3]
21652,100000,array<integer>[3]
21829,100000,array<integer>[3]
21808,100000,array<integer>[3]
21662,100000,array<integer>[3]
21778,100000,array<integer>[3]
22038,100000,array<integer>[3]
21981,100000,array<integer>[3]
21864,100000,array<integer>[3]
21630,100000,array<integer>[3]
21678,100000,array<integer>[3]
29503,100000,array<integer>[3]
29808,100000,array<integer>[3]
29403,100000,array<integer>[3]
22578,100000,array<integer>[3]
23096,100000,array<integer>[3]
21479,100000,array<integer>[3]
21530,100000,array<integer>[3]
21416,100000,array<integer>[3]
21663,100000,array<integer>[3]
21582,100000,array<integer>[3]
21773,100000,array<integer>[3]
21445,100000,array<integer>[3]
21623,100000,array<integer>[3]
21783,100000,array<integer>[3]
21621,100000,array<integer>[3]
21764,100000,array<integer>[3]
21583,100000,array<integer>[3]
21347,100000,array<integer>[3]
21933,100000,array<integer>[3]
22086,100000,array<integer>[3]
21847,100000,array<integer>[3]
22642,100000,array<integer>[3]
22178,100000,array<integer>[3]
21713,100000,array<integer>[3]
21845,100000,array<integer>[3]
21555,100000,array<integer>[3]
21787,100000,array<integer>[3]
22174,100000,array<integer>[3]
21924,100000,array<integer>[3]
21581,100000,array<integer>[3]
21889,100000,array<integer>[3]
22872,100000,array<integer>[3]
21547,100000,array<integer>[3]
21534,100000,array<integer>[3]
21804,100000,array<integer>[3]
21742,100000,array<integer>[3]
21774,100000,array<integer>[3]
22269,100000,array<integer>[3]
21675,100000,array<integer>[3]
21572,100000,array<integer>[3]
21483,100000,array<integer>[3]
21551,100000,array<integer>[3]
21896,100000,array<integer>[3]
21608,100000,array<integer>[3]
21792,100000,array<integer>[3]
28263,100000,array<integer>[3]
29538,100000,array<integer>[3]
29600,100000,array<integer>[3]
25505,100000,array<integer>[3]
21797,100000,array<integer>[3]
21695,100000,array<integer>[3]
21522,100000,array<integer>[3]
22018,100000,array<integer>[3]
22198,100000,array<integer>[3]
21852,100000,array<integer>[3]
21517,100000,array<integer>[3]
21813,100000,array<integer>[3]
21580,100000,array<integer>[3]
22966,100000,array<integer>[3]
22512,100000,array<integer>[3]
21657,100000,array<integer>[3]
23925,100000,array<integer>[3]
22890,100000,array<integer>[3]
22068,100000,array<integer>[3]
22078,100000,array<integer>[3]
21979,100000,array<integer>[3]
21369,100000,array<integer>[3]
21849,100000,array<integer>[3]
29446,100000,array<integer>[3]
29580,100000,array<integer>[3]
21591,100000,array<integer>[3]
21935,100000,array<integer>[3]
21868,100000,array<integer>[3]
21839,100000,array<integer>[3]
21667,100000,array<integer>[3]
21402,100000,array<integer>[3]
22708,100000,array<integer>[3]
21590,100000,array<integer>[3]
21730,100000,array<integer>[3]
22074,100000,array<integer>[3]
21266,100000,array<integer>[3]
21640,100000,array<integer>[3]
21492,100000,array<integer>[3]
21447,100000,array<integer>[3]
25685,100000,array<integer>[3]
29454,100000,array<integer>[3]
29573,100000,array<integer>[3]
29497,100000,array<integer>[3]
21362,100000,array<integer>[3]
23213,100000,array<integer>[3]
21774,100000,array<integer>[3]
21656,100000,array<integer>[3]
21631,100000,array<integer>[3]
21738,100000,array<integer>[3]
21748,100000,array<integer>[3]
21458,100000,array<integer>[3]
21726,100000,array<integer>[3]
22052,100000,array<integer>[3]
22074,100000,array<integer>[3]
21747,100000,array<integer>[3]
21721,100000,array<integer>[3]
21693,100000,array<integer>[3]
21631,100000,array<integer>[3]
21685,100000,array<integer>[3]
21705,100000,array<integer>[3]
21578,100000,array<integer>[3]
