runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
7,3898,140508,10000,529
7,3903,145245,10000,500
7,4957,153516,10000,538
7,7773,114501,10000,271
7,4881,117641,10000,291
8,3263,110375,10000,633
8,3261,131240,10000,951
8,3259,112453,10000,752
8,3279,145159,10000,803
8,3262,38190,10000,6
8,3260,111284,10000,689
8,3286,99548,10000,587
8,3260,56736,10000,138
8,3261,61987,10000,203
8,3271,105492,10000,603
8,3271,102181,10000,545
8,3286,134741,10000,602
8,3270,68304,10000,226
8,3258,131065,10000,927
8,3305,111589,10000,309
8,3261,102186,10000,583
8,3272,54937,10000,106
8,3259,115240,10000,774
8,3264,43708,10000,26
8,3264,92329,10000,412
8,3259,102482,10000,540
8,3309,87022,10000,387
8,3294,96545,10000,439
8,3267,109222,10000,662
8,3257,48920,10000,79
8,3259,129059,10000,904
8,3261,57766,10000,97
8,3258,113527,10000,733
8,3259,103839,10000,651
8,3257,65744,10000,247
8,3258,101100,10000,604
8,3257,126497,10000,876
8,3260,56098,10000,133
8,3293,81190,10000,381
8,3259,49914,10000,99
8,3258,83658,10000,393
8,3261,179605,10000,1018
8,3259,129351,10000,901
8,3260,40623,10000,6
8,3302,143891,10000,496
8,3374,146466,10000,596
8,3276,192939,10000,943
8,3262,112458,10000,685
8,3257,119149,10000,794
8,3273,57808,10000,43
8,3261,59883,10000,165
8,3261,109700,10000,652
8,3262,54132,10000,93
8,3260,116999,10000,757
8,3451,102461,10000,586
8,3261,109162,10000,712
8,3258,121848,10000,791
8,3259,109326,10000,700
8,3262,59049,10000,132
8,3292,44467,10000,15
8,3272,45984,10000,28
8,3273,98318,10000,473
8,3258,122291,10000,843
8,3261,115477,10000,794
8,3259,79548,10000,361
8,3279,163551,10000,738
8,3273,147332,10000,630
8,3295,177298,10000,854
8,3271,63816,10000,1
8,3310,187620,10000,863
8,3282,170312,10000,761
8,3288,148935,10000,585
8,3262,99132,10000,498
8,3271,113525,10000,613
8,3261,68617,10000,227
8,5955,57916,10000,127
8,3266,100496,10000,516
8,3261,86895,10000,424
8,3268,109195,10000,637
8,3260,52257,10000,113
