runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
2,3248,22999,50000,-1.4827499389797907e+308,1.331263555069829e+307
2,3259,22327,50000,-1.1176912771342937e+308,1.7939555796095743e+308
2,3248,22201,50000,1.7936621280568991e+308,7.445106020940178e+307
2,3247,22381,50000,-4.2111250359496806e+307,-6.527420594246737e+307
2,3341,25733,50000,2.482707644011795e+306,-2.77319447956624e+307
2,3324,24144,50000,-1.1976701639662003e+308,8.340390128866955e+307
2,3248,23097,50000,-2.975274753780245e+307,1.409971257382966e+308
2,3340,27561,50000,-1.443693387675045e+308,-1.775291851819586e+308
2,3249,23630,50000,1.0312699356957687e+308,1.2036263129510839e+308
2,3344,23377,50000,1.0186285425705012e+308,-1.7749754934378058e+308
2,3295,27526,50000,1.0850107047232906e+308,1.6672886281602614e+308
2,3247,24655,50000,-9.5796310978468e+307,8.660980915548263e+307
2,3250,23376,50000,-6.689840284465321e+307,1.7488994493006904e+308
2,3250,22398,50000,-7.38964285821815e+307,7.993223359338077e+307
2,3607,22469,50000,-4.156879695301525e+307,-2.4350235075924455e+307
2,3250,22843,50000,1.4801160896077372e+308,2.6595652722569267e+307
2,3252,22528,50000,-1.3110940579798774e+306,1.1944643769312484e+308
2,3251,21963,50000,3.6423115509993843e+307,-1.4050618852269634e+308
2,3312,22352,50000,-4.989120247466961e+307,3.101494518334534e+307
2,3260,23184,50000,1.0855856202825234e+308,3.5457708431064896e+307
2,3251,22523,50000,-1.3444908819981003e+307,-1.0834479626884798e+308
2,3249,22354,50000,-1.2296035061043667e+308,-1.4107834617394825e+305
2,3250,23388,50000,-1.2511761509684551e+308,9.68242985337371e+307
2,3343,22505,50000,-8.630374046375634e+307,1.4948713817754157e+308
2,3250,23082,50000,-1.3675901792328455e+308,-1.2308022900585028e+308
2,3249,22645,50000,4.621665993900996e+307,1.4111667071305937e+308
2,3248,22528,50000,1.5421731864088674e+308,-4.571216019916134e+307
2,3253,22192,50000,1.193685540775202e+308,1.226778939874328e+307
2,3248,21890,50000,-4.44114105319267e+307,5.936957307736058e+307
2,3248,26894,50000,8.322098959956433e+307,6.203758789850766e+306
2,3278,22550,50000,-4.906250790611064e+307,-5.365817366160722e+305
2,3246,26515,50000,-1.4542059933576892e+308,1.5565147661879862e+307
3,3380,21633,50000,-6.062748100531329e+307,1.015430679355867e+308
3,3263,27700,50000,-1.664947746434907e+308,-5.32280806380058e+307
3,3250,22503,50000,1.4670073227667913e+308,-8.977425729888165e+306
3,3371,22007,50000,8.158653336570191e+307,9.141041184034475e+307
3,3257,21576,50000,-1.28355484239562e+308,-6.77243149475391e+306
3,3247,21671,50000,4.2106749572765756e+307,-1.204493852913907e+308
3,3371,21736,50000,1.6185354565210899e+308,8.70984937023468e+307
3,3251,21882,50000,6.916411779870211e+307,1.0768517842633171e+308
3,3251,22671,50000,-3.1120837911022325e+307,5.469130176748559e+307
3,3379,22451,50000,-8.485181281325526e+307,-3.3466806885657375e+307
3,3247,22077,50000,-9.549846142354637e+307,1.4475540088443846e+308
3,3248,21696,50000,-1.689193502169679e+308,-4.479332083865703e+306
3,3385,22064,50000,-2.238661266712842e+307,1.182155251807488e+308
3,3247,22523,50000,-1.362501350167092e+308,-4.689818706854068e+307
3,3248,21725,50000,2.3215116410345923e+307,-1.2244963245001635e+308
