elapsed.ps,repeats.n,param.a.integer,param.b.integer
16871,100000,8050517473885524,-6025643565232298
16215,100000,-8031215563062869,-7311590128132797
19230,100000,-7386781415276431,-7023010415420961
19906,100000,-7734449166361111,4084849467494086
16746,100000,4138221805406993,-950293553166270
16557,100000,7427014802966547,-1817661379655702
16824,100000,8192394193239538,3850407208621782
15905,100000,-5810101321914871,8123089885889077
16672,100000,9262371902020,-2612522162870942
20091,100000,3042279461917879,2436029457342419
19894,100000,-5109747352677585,1817418470442714
16354,100000,729446772351514,3991363342133367
18545,100000,-132350434402879,-4205411768306282
18305,100000,3749491273855504,6430353913077059
16738,100000,2458725275749333,-8834343788030622
16594,100000,2800605590632801,-5436008268523928
16739,100000,-193598052916382,3648372321554745
15789,100000,-1237461217043195,7010773993940414
16961,100000,288309100129944,-4556827702007028
18976,100000,-3467502526834152,-8098726326737879
16856,100000,-8558642873864420,-1990070504198110
16245,100000,-3192854104590231,501593244566113
16824,100000,8579088700220420,8467341468139254
23650,100000,-7461069629383867,6802817589519981
16831,100000,-7989805327173350,-8724872757178227
16521,100000,7520515502094012,-6790706447123369
16431,100000,-1972814142584852,-452808697060119
16600,100000,5533945552829061,-2150027205055072
16425,100000,557499291936208,-6570113360942271
16417,100000,-4979878908195596,-7891936441008895
22833,100000,945671480593551,7503538505395369
17324,100000,5061839887823607,-2366139621172087
18047,100000,6391545836650038,-6338458418281138
16773,100000,3651730754155238,8396458624095143
15842,100000,-7224661678005478,3915324614919178
17024,100000,6922151681110540,-6123467750003316
15943,100000,-7490545073444303,440304228696012
16652,100000,-2086197687740913,-2959211811050817
15725,100000,-7183050093595794,6513748317112245
17230,100000,2639928410784684,-3777892478653142
19202,100000,-2120023137796742,2873321603259725
16270,100000,-2855373568704117,-7403467646803218
16529,100000,1544137306915528,-52061972491214
16379,100000,5353704597845385,7509078549440807
22193,100000,-5232206192185163,6973417145218727
16602,100000,-6218417918667308,-6803529818420363
16691,100000,2616747319263343,-5397800372552870
16181,100000,7743021527319138,6729372653873323
16374,100000,-832763262631463,-1585984227317878
16493,100000,8334913672369363,-4054010643363157
17661,100000,6447664845685976,-222526881454403
16854,100000,6147388791518443,-3982288889590218
16526,100000,6297083216857975,-2929946251997453
17210,100000,2768454039163865,-2453451290324625
17307,100000,-4447940679816373,-492509935287314
16572,100000,5216932444367830,5159007180128703
16782,100000,8610004877639613,1754151761582598
17152,100000,8274968103471396,-5058385608962365
16797,100000,-5570707594311682,-5446520938012028
16325,100000,-2742096703076282,3526885950519943
16150,100000,398493078886831,7730953415088346
16191,100000,-7940690135200423,7429670285572642
17374,100000,2464971029687722,-3618895691713214
16584,100000,3556857120248406,-2066638591295137
21477,100000,3217619577028565,-4428014978648083
19053,100000,-6826373743491022,-3912603671798140
16380,100000,7690031386433873,2344569875347611
16115,100000,2368578409477214,-2284756406500611
16290,100000,7478874007130552,-2377920269228258
16555,100000,6241593270186555,-569932220955942
16776,100000,8828382478228785,4538975059193711
17026,100000,-6662042245858102,3591602936154519
19437,100000,3789362905703689,2428804303699017
16552,100000,-7584114380803450,-8974292692189734
19283,100000,8163155915842966,-5820199070830572
16553,100000,3719275989184694,-5685386781383503
15335,100000,-7567404206400028,6439412678808336
16502,100000,8491077405645886,1764258666563261
17248,100000,7096290216305238,1850086512549467
17890,100000,1968069035657566,8645291405812038
16936,100000,-4228490461757239,-5039541056902984
19625,100000,6031739392106536,-2598779708100775
17230,100000,1084141231896841,4889217615484107
16491,100000,-4456256907140718,-3737293955575183
16162,100000,-7217942511118242,6485949371641951
15731,100000,1765954700266596,5230529542039923
16619,100000,-5087614644827013,4561257002886265
17114,100000,8330958282194129,6021547030908088
19049,100000,3149506296010370,-3945623141997260
17216,100000,-7979605628581243,2043810739288454
16547,100000,-2173060390070336,7080405854301184
16634,100000,-2708245958957099,-6147195685380219
16162,100000,-2128085667498778,-1328858621575475
16749,100000,502733222345249,-3421508069670450
16371,100000,-2747647519585258,4862494121848289
15452,100000,-6822799030848427,831368161037496
16490,100000,-8341788217548261,4431142368209665
16397,100000,-1116095433219008,-888758784979441
16880,100000,180857188354707,-7179913823372881
16204,100000,-6857475212744584,6364199135245567
16402,100000,1567044297324828,3080451834156121
16988,100000,-8944063959011899,8576506029254246
16053,100000,-5175513377220961,-5146273225195044
15589,100000,-5472502894550176,1258245637359615
16509,100000,-5628442309170007,-5394850987090012
15813,100000,3539763550147888,6115891959544006
16459,100000,6419789014526236,2946619271991770
16444,100000,-5131425036708805,7157258795014205
16787,100000,-6063957951676442,2626446655023022
16305,100000,-2328749764812288,5800331950018386
20297,100000,-150392727936128,982527366099593
16700,100000,2274921727129566,-4198542103332470
16771,100000,2992855607838102,1544351822567029
16889,100000,489844523955501,-3702629254677261
18350,100000,-4122541566214763,762016363619032
16290,100000,8787533418384167,3728052356860998
16071,100000,-177573302247383,3833464485308050
16225,100000,-8461829883790183,-6073863149243345
16211,100000,8569117142260743,669145298103636
16302,100000,5421088525536184,-4624740482028188
15988,100000,-741415852855890,8276799483932876
17758,100000,-7577642795967347,769115020264514
19302,100000,-4659989176536320,2193462746509
16843,100000,6179972897102423,-3469312435431332
16109,100000,2307790598033680,3463335116263007
17008,100000,-6255269495550226,-5274092290083913
16948,100000,2263170482706708,-5980238423691944
16157,100000,-1537770598459100,3791104175381537
16208,100000,-3089939235230368,231724591402259
18648,100000,7562080598711885,7786256859757669
16428,100000,8768475056193419,-5646298971181011
16266,100000,-1871355451448632,2049238194597464
17322,100000,2068883779644739,-4479129474917219
16934,100000,6588737667505873,-8788626381701525
16528,100000,-5064112597565921,310503342283184
18777,100000,3220851980616439,-2422177728225599
16078,100000,-5563658600971502,-2454710598153692
17217,100000,2859811009911218,-790499195300860
16522,100000,5835933870283732,1531731982175668
16594,100000,6319825259521497,-7465435387170503
16681,100000,7535707889250052,1195991946189701
17034,100000,8511035179749940,4009206150755846
16880,100000,-396400726222391,-6094620742966163
16139,100000,3771734925700041,6252252215195730
16416,100000,-4756774678157068,3105949281455154
15843,100000,-4722599565094381,4471395654941083
17682,100000,-4847391061716616,6350889606490425
16298,100000,-8437337954707455,6637570545131849
16081,100000,3008286905813290,8790877521006894
16509,100000,5538171063492561,1519292990367950
16189,100000,-7508265244143480,273968370745724
15957,100000,-3499293923614381,-2026946471590890
16790,100000,4260496253861746,358074693380493
16195,100000,-7099162653107632,-2227489626732024
16230,100000,-4055898303052367,-3765749559229912
16872,100000,5554670881034312,3587657068414511
17154,100000,-5244036152707324,-7049716156516436
18237,100000,-2565446016975461,5086511520610363
16309,100000,-5332231382582942,114305601499733
16542,100000,-7240928433988072,-6320034946090552
16420,100000,-6313305951817836,-2729582467465636
16752,100000,-3236139362283764,319648263115743
16895,100000,277848037108954,-5512765823271230
16402,100000,-3830428427665773,7437161991711277
16771,100000,7883693473379898,-7634573856284457
16928,100000,193956805140853,1039366155346576
16260,100000,-1660043017488932,2440403955034689
16334,100000,337920206695671,815518348215815
16379,100000,8500094251140035,-5600225522971352
16160,100000,-7265208883952315,2519216080080165
16851,100000,2948696387112642,-8937769263516064
18367,100000,6474226545348259,-266575623432057
16629,100000,7122237337078270,-1979433068186259
16653,100000,7240772438401141,-7884351643702316
16895,100000,617566622988754,-549469234371482
16960,100000,1610419757410034,-1383847007378601
16506,100000,6710802131992349,-8885629631005515
17160,100000,8936086887749971,7410666950922363
18266,100000,2299674143043241,4163672030557081
16556,100000,1411377787777125,-7965993270525464
16137,100000,-6402475341334152,-2181411143720538
17282,100000,8655280538376361,2470119437613663
16302,100000,3300140773467673,4330666603760882
16589,100000,4169383527712339,2761560750943357
20997,100000,566896065123673,4130838074267861
18873,100000,5124368490759220,-8081604531640678
16253,100000,-2543387704283460,-7972988054396933
16805,100000,7811335745891577,3405151149920427
16521,100000,-2550778182975748,-3830699129485949
16811,100000,1175579654183451,-1910566579879063
15859,100000,-7175497589376631,4540889439317529
16216,100000,1965613881566341,8901460094856164
18516,100000,1562020935362246,4447686768050250
16137,100000,1433966631094493,2994102891019611
16281,100000,-6979618833027941,8074590255281951
17185,100000,899079411674722,656109248959859
16698,100000,-612206963504241,2568559694016015
15858,100000,-7814805650951945,1512451694176013
16655,100000,8659163670670431,6033576663474387
19593,100000,-1302871216715969,-7337740216888025
16951,100000,-607530850184490,-3692951188535167
17204,100000,-6054881977692982,973507040986256
17911,100000,-2337265620645196,8868331153247690
16601,100000,-8242326161153674,-1236154102398592
16477,100000,3853841004364335,-5044695254793910
